GCF	NumSpeciues	NumGenera	NumFamily	NumOrder	NumClasses	NumPhylum
2	1	1	1	1	1	1
3	1	1	1	1	1	1
5	12	2	1	1	1	1
8	1	1	1	1	1	1
9	2	2	2	1	1	1
10	1	1	1	1	1	1
13	5	1	1	1	1	1
14	20	1	1	1	1	1
15	20	1	1	1	1	1
16	5	3	1	1	1	1
18	2	2	1	1	1	1
19	87	21	15	8	5	1
20	2	1	1	1	1	1
24	1	1	1	1	1	1
25	4	1	1	1	1	1
26	20	3	2	1	1	1
27	4	1	1	1	1	1
28	1	1	1	1	1	1
29	1	1	1	1	1	1
30	2	1	1	1	1	1
31	2	1	1	1	1	1
34	1	1	1	1	1	1
35	2	1	1	1	1	1
36	1	1	1	1	1	1
37	1	1	1	1	1	1
38	1	1	1	1	1	1
39	2	1	1	1	1	1
40	1	1	1	1	1	1
41	1	1	1	1	1	1
42	10	1	1	1	1	1
44	10	1	1	1	1	1
45	1	1	1	1	1	1
46	1	1	1	1	1	1
47	30	17	6	1	1	1
48	1	1	1	1	1	1
51	1	1	1	1	1	1
52	1	1	1	1	1	1
53	2	1	1	1	1	1
54	1	1	1	1	1	1
55	1	1	1	1	1	1
56	3	1	1	1	1	1
57	1	1	1	1	1	1
58	1	1	1	1	1	1
59	1	1	1	1	1	1
60	1	1	1	1	1	1
61	1	1	1	1	1	1
62	2	2	1	1	1	1
65	2	1	1	1	1	1
66	1	1	1	1	1	1
67	1	1	1	1	1	1
68	3	2	1	1	1	1
69	1	1	1	1	1	1
70	1	1	1	1	1	1
71	3	1	1	1	1	1
72	1	1	1	1	1	1
74	1	1	1	1	1	1
75	2	1	1	1	1	1
76	1	1	1	1	1	1
77	3	1	1	1	1	1
78	1	1	1	1	1	1
79	1	1	1	1	1	1
80	2	1	1	1	1	1
81	1	1	1	1	1	1
82	3	2	1	1	1	1
83	11	2	2	2	2	1
84	1	1	1	1	1	1
85	2	2	2	2	1	1
86	2	2	2	2	1	1
87	2	2	2	1	1	1
88	2	2	2	2	1	1
89	2	1	1	1	1	1
90	3	1	1	1	1	1
91	2	1	1	1	1	1
92	2	1	1	1	1	1
93	1	1	1	1	1	1
94	1	1	1	1	1	1
95	4	2	1	2	1	1
96	4	1	1	1	1	1
97	1	1	1	1	1	1
98	2	1	1	1	1	1
99	1	1	1	1	1	1
100	1	1	1	1	1	1
101	1	1	1	1	1	1
102	1	1	1	1	1	1
104	3	3	1	1	1	1
105	1	1	1	1	1	1
106	1	1	1	1	1	1
107	1	1	1	1	1	1
108	1	1	1	1	1	1
109	1	1	1	1	1	1
110	3	1	1	1	1	1
111	2	1	1	1	1	1
112	1	1	1	1	1	1
113	2	1	1	1	1	1
114	1	1	1	1	1	1
115	1	1	1	1	1	1
116	4	1	1	1	1	1
117	1	1	1	1	1	1
118	1	1	1	1	1	1
119	8	1	1	1	1	1
120	1	1	1	1	1	1
121	3	2	2	1	1	1
122	1	1	1	1	1	1
123	1	1	1	1	1	1
124	1	1	1	1	1	1
125	2	1	1	1	1	1
126	2	1	1	1	1	1
127	1	1	1	1	1	1
128	1	1	1	1	1	1
129	1	1	1	1	1	1
130	3	3	1	1	1	1
131	2	2	1	1	1	1
132	2	2	1	1	1	1
133	1	1	1	1	1	1
134	4	1	1	1	1	1
135	2	1	1	1	1	1
136	1	1	1	1	1	1
138	1	1	1	1	1	1
139	1	1	1	1	1	1
140	1	1	1	1	1	1
141	1	1	1	1	1	1
142	1	1	1	1	1	1
143	2	1	1	1	1	1
144	2	1	1	1	1	1
145	3	1	1	1	1	1
146	1	1	1	1	1	1
147	1	1	1	1	1	1
148	1	1	1	1	1	1
149	1	1	1	1	1	1
150	4	1	1	1	1	1
151	2	1	1	1	1	1
152	1	1	1	1	1	1
153	1	1	1	1	1	1
154	1	1	1	1	1	1
155	2	1	1	1	1	1
156	3	1	1	1	1	1
157	3	1	1	1	1	1
158	3	1	1	1	1	1
159	1	1	1	1	1	1
160	1	1	1	1	1	1
161	1	1	1	1	1	1
162	2	1	1	1	1	1
163	1	1	1	1	1	1
164	1	1	1	1	1	1
165	1	1	1	1	1	1
166	1	1	1	1	1	1
167	1	1	1	1	1	1
168	1	1	1	1	1	1
169	1	1	1	1	1	1
170	2	2	2	1	1	1
171	1	1	1	1	1	1
172	2	2	1	1	1	1
173	1	1	1	1	1	1
174	2	2	1	1	1	1
175	1	1	1	1	1	1
176	1	1	1	1	1	1
177	1	1	1	1	1	1
178	1	1	1	1	1	1
179	1	1	1	1	1	1
180	1	1	1	1	1	1
181	2	2	2	1	1	1
182	1	1	1	1	1	1
183	1	1	1	1	1	1
184	1	1	1	1	1	1
185	1	1	1	1	1	1
186	5	1	1	1	1	1
187	1	1	1	1	1	1
188	3	1	1	1	1	1
189	3	1	1	1	1	1
190	2	2	2	2	1	1
191	2	1	1	1	1	1
192	1	1	1	1	1	1
193	1	1	1	1	1	1
194	1	1	1	1	1	1
195	1	1	1	1	1	1
196	1	1	1	1	1	1
197	1	1	1	1	1	1
198	1	1	1	1	1	1
199	2	2	2	1	1	1
200	1	1	1	1	1	1
201	1	1	1	1	1	1
202	2	2	1	1	1	1
203	1	1	1	1	1	1
204	1	1	1	1	1	1
205	1	1	1	1	1	1
206	1	1	1	1	1	1
207	3	1	1	1	1	1
208	4	1	1	1	1	1
209	4	1	1	1	1	1
210	2	1	1	1	1	1
1*	23	3	3	2	2	1
4*	15	7	6	4	2	1
5*	7	1	1	1	1	1
6*	89	24	11	4	3	1
7*	7	5	1	1	1	1
8*	30	4	4	3	2	1
9*	4	1	1	1	1	1
crm*	55	22	16	6	4	1
dit (variation 1)*	25	10	2	1	1	1
dit (variation 2)*	9	2	1	1	1	1
dit (variation 3)*	61	30	18	4	2	1
xan*	44	3	2	2	2	1
