Old_Name,HTML_Name,Gap,Unique,Reference_Cluster
1,1_Refined_1,4050,3,639
4,crm_Refined_1,10200,3,318
5,5,10000,4,52
6,xan_1,9000,4,7
7,9_Refined,20000,3,3636
11,6_Refined_1,12000,3,17
12,7_Refined,7000,3,432
13,13,7000,3,19
14,14,10000,4,454
15,15,15000,4,577
17,dit (Clan 1),10000,2,1210
19,19,17000,3,3264
21,6_Refined_2,7000,2,1571
22,8_Refined,5000,4,116
23,crm_Refined_2,20000,3,930
26,26,9000,3,216
32,5_Refined,5000,4,281
33,dit (Clan 2)_Refined,15000,4,1607
42,42,7100,4,1409
43,dit (Clan 3)_Refined_1,9000,4,1337
44,44,10000,5,1106
47,47,20000,2,898
49,dit (Clan 3)_Refined_2,10000,4,499
50,1_Refined_2,4000,3,166
63,4_Refined_2,5000,4,1163
64,crm_Refined_3,10000,4,330
73,4_Refined_2,10000,3,1007
83,83,4000,4,1459
103,6_Refined_3,20000,3,3152
119,119,20000,3,595
137,xan_Refined_2,10000,4,3792
