Cluster_Name	Kingdom	Phylum	Class	Order	Family	Genus	Species	Genome_Information	FinalGCFs	NCBI_Accession
1_Talaromyces_marneffei	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Trichocomaceae	Talaromyces	Talaromyces_marneffei	Talaromyces_marneffei_ATCC_18224	1*	GCA_000001985.1
4_Talaromyces_marneffei	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Trichocomaceae	Talaromyces	Talaromyces_marneffei	Talaromyces_marneffei_ATCC_18224	1*	GCA_000001985.1
12_Talaromyces_stipitatus	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Trichocomaceae	Talaromyces	Talaromyces_stipitatus	Talaromyces_stipitatus_ATCC_10500	1*	GCA_000003125.1
13_Talaromyces_stipitatus	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Trichocomaceae	Talaromyces	Talaromyces_stipitatus	Talaromyces_stipitatus_ATCC_10500	1*	GCA_000003125.1
282_Talaromyces_marneffei	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Trichocomaceae	Talaromyces	Talaromyces_marneffei	Talaromyces_marneffei_PM1	1*	GCA_000750115.1
283_Talaromyces_marneffei	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Trichocomaceae	Talaromyces	Talaromyces_marneffei	Talaromyces_marneffei_PM1	1*	GCA_000750115.1
472_Talaromyces_verruculosus	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Trichocomaceae	Talaromyces		Talaromyces_verruculosus	1*	GCA_001305275.1
682_Penicillium_occitanis	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium		Penicillium_sp._'occitanis'	1*	GCA_002382835.1
684_Penicillium_occitanis	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium		Penicillium_sp._'occitanis'	1*	GCA_002382835.1
687_Penicillium_occitanis	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium		Penicillium_sp._'occitanis'	1*	GCA_002382855.1
688_Penicillium_occitanis	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium		Penicillium_sp._'occitanis'	1*	GCA_002382855.1
1078_Talaromyces_marneffei	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Trichocomaceae	Talaromyces		Talaromyces_marneffei	1*	GCA_009556855.1
1081_Talaromyces_marneffei	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Trichocomaceae	Talaromyces		Talaromyces_marneffei	1*	GCA_009650675.1
1082_Talaromyces_marneffei	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Trichocomaceae	Talaromyces		Talaromyces_marneffei	1*	GCA_009650675.1
1235_Talaromyces_pinophilus	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Trichocomaceae	Talaromyces		Talaromyces_pinophilus	1*	GCA_011392495.1
1238_Talaromyces_pinophilus	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Trichocomaceae	Talaromyces		Talaromyces_pinophilus	1*	GCA_011392495.1
3360_Talaromyces_marneffei	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Trichocomaceae	Talaromyces	Talaromyces_marneffei	Talaromyces_marneffei_ATCC_18224	1*	GCF_000001985.1
3362_Talaromyces_marneffei	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Trichocomaceae	Talaromyces	Talaromyces_marneffei	Talaromyces_marneffei_ATCC_18224	1*	GCF_000001985.1
3373_Talaromyces_stipitatus	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Trichocomaceae	Talaromyces	Talaromyces_stipitatus	Talaromyces_stipitatus_ATCC_10500	1*	GCF_000003125.1
3374_Talaromyces_stipitatus	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Trichocomaceae	Talaromyces	Talaromyces_stipitatus	Talaromyces_stipitatus_ATCC_10500	1*	GCF_000003125.1
221_Penicillium_roqueforti	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium	Penicillium_roqueforti	Penicillium_roqueforti_FM164	1*	GCA_000513255.1
293_Penicillium_expansum	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium		Penicillium_expansum	1*	GCA_000769735.1
295_Penicillium_expansum	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium		Penicillium_expansum	1*	GCA_000769745.1
301_Penicillium_italicum	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium		Penicillium_italicum	1*	GCA_000769765.1
489_Penicillium_griseofulvum	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium		Penicillium_griseofulvum	1*	GCA_001561935.1
491_Penicillium_griseofulvum	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium		Penicillium_griseofulvum	1*	GCA_001561935.1
617_Penicillium_solitum	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium		Penicillium_solitum	1*	GCA_002072235.1
621_Penicillium_vulpinum	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium		Penicillium_vulpinum	1*	GCA_002072255.1
623_Penicillium_vulpinum	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium		Penicillium_vulpinum	1*	GCA_002072255.1
627_Penicillium_polonicum	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium		Penicillium_polonicum	1*	GCA_002072265.1
629_Penicillium_polonicum	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium		Penicillium_polonicum	1*	GCA_002072265.1
633_Penicillium_antarcticum	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium		Penicillium_antarcticum	1*	GCA_002072345.1
636_Penicillium_antarcticum	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium		Penicillium_antarcticum	1*	GCA_002072345.1
639_Penicillium_flavigenum	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium		Penicillium_flavigenum	1*	GCA_002072365.1
640_Penicillium_flavigenum	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium		Penicillium_flavigenum	1*	GCA_002072365.1
644_Penicillium_nalgiovense	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium		Penicillium_nalgiovense	1*	GCA_002072425.1
646_Penicillium_nalgiovense	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium		Penicillium_nalgiovense	1*	GCA_002072425.1
1219_Penicillium_rubens	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium		Penicillium_rubens	1*	GCA_011058885.1
1220_Penicillium_rubens	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium		Penicillium_rubens	1*	GCA_011058885.1
1264_Penicillium_digitatum	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium		Penicillium_digitatum	1*	GCA_012295545.2
1509_Penicillium_crustosum	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium		Penicillium_crustosum	1*	GCA_014621375.1
1556_Penicillium_digitatum	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium		Penicillium_digitatum	1*	GCA_016767815.1
3431_Penicillium_rubens	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium	Penicillium_rubens	Penicillium_rubens_Wisconsin_54-1255	1*	GCF_000226395.1
3433_Penicillium_rubens	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium	Penicillium_rubens	Penicillium_rubens_Wisconsin_54-1255	1*	GCF_000226395.1
3461_Penicillium_digitatum	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium	Penicillium_digitatum	Penicillium_digitatum_Pd1	1*	GCF_000315645.1
3524_Penicillium_expansum	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium		Penicillium_expansum	1*	GCF_000769745.1
3558_Penicillium_griseofulvum	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium		Penicillium_griseofulvum	1*	GCF_001561935.1
3560_Penicillium_griseofulvum	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium		Penicillium_griseofulvum	1*	GCF_001561935.1
3605_Penicillium_solitum	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium		Penicillium_solitum	1*	GCF_002072235.1
2_Talaromyces_marneffei	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Trichocomaceae	Talaromyces	Talaromyces_marneffei	Talaromyces_marneffei_ATCC_18224	2	GCA_000001985.1
1080_Talaromyces_marneffei	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Trichocomaceae	Talaromyces		Talaromyces_marneffei	2	GCA_009556855.1
1084_Talaromyces_marneffei	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Trichocomaceae	Talaromyces		Talaromyces_marneffei	2	GCA_009650675.1
3361_Talaromyces_marneffei	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Trichocomaceae	Talaromyces	Talaromyces_marneffei	Talaromyces_marneffei_ATCC_18224	2	GCF_000001985.1
3_Talaromyces_marneffei	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Trichocomaceae	Talaromyces	Talaromyces_marneffei	Talaromyces_marneffei_ATCC_18224	3	GCA_000001985.1
1079_Talaromyces_marneffei	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Trichocomaceae	Talaromyces		Talaromyces_marneffei	3	GCA_009556855.1
1083_Talaromyces_marneffei	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Trichocomaceae	Talaromyces		Talaromyces_marneffei	3	GCA_009650675.1
3363_Talaromyces_marneffei	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Trichocomaceae	Talaromyces	Talaromyces_marneffei	Talaromyces_marneffei_ATCC_18224	3	GCF_000001985.1
5_Aspergillus_fumigatus	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	Aspergillus_fumigatus	Aspergillus_fumigatus_Af293	crm*	GCA_000002655.1
39_Aspergillus_fischeri	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	Aspergillus_fischeri	Aspergillus_fischeri_NRRL_181	crm*	GCA_000149645.3
54_Aspergillus_fumigatus	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	Aspergillus_fumigatus	Aspergillus_fumigatus_A1163	crm*	GCA_000150145.1
444_Aspergillus_fumigatus	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	Aspergillus_fumigatus	Aspergillus_fumigatus_Z5	crm*	GCA_001029325.1
667_Aspergillus_fumigatus	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus		Aspergillus_fumigatus	crm*	GCA_002234955.1
669_Aspergillus_turcosus	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus		Aspergillus_turcosus	crm*	GCA_002234965.2
672_Aspergillus_turcosus	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus		Aspergillus_turcosus	crm*	GCA_002234975.2
675_Aspergillus_fumigatus	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus		Aspergillus_fumigatus	crm*	GCA_002234985.1
1266_Aspergillus_fumigatus	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus		Aspergillus_fumigatus	crm*	GCA_012656115.1
1271_Aspergillus_fumigatus	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus		Aspergillus_fumigatus	crm*	GCA_012656125.1
1272_Aspergillus_fumigatus	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus		Aspergillus_fumigatus	crm*	GCA_012656165.1
1276_Aspergillus_fumigatus	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus		Aspergillus_fumigatus	crm*	GCA_012656185.1
1281_Aspergillus_fumigatus	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus		Aspergillus_fumigatus	crm*	GCA_012656215.1
1293_Aspergillus_fumigatiaffinis	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus		Aspergillus_fumigatiaffinis	crm*	GCA_012656295.1
1298_Aspergillus_lentulus	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus		Aspergillus_lentulus	crm*	GCA_012656335.1
1300_Aspergillus_lentulus	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus		Aspergillus_lentulus	crm*	GCA_012656375.1
1303_Aspergillus_lentulus	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus		Aspergillus_lentulus	crm*	GCA_012656395.1
1307_Aspergillus_lentulus	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus		Aspergillus_lentulus	crm*	GCA_012656445.1
1503_Aspergillus_hiratsukae	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus		Aspergillus_hiratsukae	crm*	GCA_014281935.1
1553_Aspergillus_fischeri	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus		Aspergillus_fischeri	crm*	GCA_016748045.1
1709_Aspergillus_fumigatus	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus		Aspergillus_fumigatus	crm*	GCA_020498725.1
1715_Aspergillus_fumigatus	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus		Aspergillus_fumigatus	crm*	GCA_020498735.1
1719_Aspergillus_fumigatus	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus		Aspergillus_fumigatus	crm*	GCA_020498745.1
1722_Aspergillus_fumigatus	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus		Aspergillus_fumigatus	crm*	GCA_020498755.1
1725_Aspergillus_fumigatus	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus		Aspergillus_fumigatus	crm*	GCA_020498765.1
1726_Aspergillus_fumigatus	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus		Aspergillus_fumigatus	crm*	GCA_020498805.1
1730_Aspergillus_fumigatus	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus		Aspergillus_fumigatus	crm*	GCA_020498815.1
1734_Aspergillus_fumigatus	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus		Aspergillus_fumigatus	crm*	GCA_020498865.1
1737_Aspergillus_fumigatus	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus		Aspergillus_fumigatus	crm*	GCA_020498875.1
1741_Aspergillus_fumigatus	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus		Aspergillus_fumigatus	crm*	GCA_020498885.1
1745_Aspergillus_fumigatus	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus		Aspergillus_fumigatus	crm*	GCA_020498895.1
1748_Aspergillus_fumigatus	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus		Aspergillus_fumigatus	crm*	GCA_020498905.1
1752_Aspergillus_fumigatus	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus		Aspergillus_fumigatus	crm*	GCA_020498945.1
1754_Aspergillus_fumigatus	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus		Aspergillus_fumigatus	crm*	GCA_020498965.1
1760_Aspergillus_fumigatus	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus		Aspergillus_fumigatus	crm*	GCA_020498985.1
1765_Aspergillus_fumigatus	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus		Aspergillus_fumigatus	crm*	GCA_020499005.1
1766_Aspergillus_fumigatus	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus		Aspergillus_fumigatus	crm*	GCA_020499015.1
1772_Aspergillus_fumigatus	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus		Aspergillus_fumigatus	crm*	GCA_020499035.1
1774_Aspergillus_fumigatus	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus		Aspergillus_fumigatus	crm*	GCA_020499045.1
1778_Aspergillus_fumigatus	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus		Aspergillus_fumigatus	crm*	GCA_020499075.1
1781_Aspergillus_fumigatus	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus		Aspergillus_fumigatus	crm*	GCA_020499115.1
1782_Aspergillus_fumigatus	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus		Aspergillus_fumigatus	crm*	GCA_020499125.1
1787_Aspergillus_fumigatus	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus		Aspergillus_fumigatus	crm*	GCA_020499135.1
1790_Aspergillus_fumigatus	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus		Aspergillus_fumigatus	crm*	GCA_020499155.1
1794_Aspergillus_fumigatus	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus		Aspergillus_fumigatus	crm*	GCA_020499185.1
1797_Aspergillus_fumigatus	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus		Aspergillus_fumigatus	crm*	GCA_020499195.1
1799_Aspergillus_fumigatus	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus		Aspergillus_fumigatus	crm*	GCA_020499225.1
1801_Aspergillus_fumigatus	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus		Aspergillus_fumigatus	crm*	GCA_020499245.1
1805_Aspergillus_fumigatus	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus		Aspergillus_fumigatus	crm*	GCA_020499255.1
1807_Aspergillus_fumigatus	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus		Aspergillus_fumigatus	crm*	GCA_020499265.1
1811_Aspergillus_fumigatus	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus		Aspergillus_fumigatus	crm*	GCA_020499315.1
1814_Aspergillus_fumigatus	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus		Aspergillus_fumigatus	crm*	GCA_020499325.1
1818_Aspergillus_fumigatus	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus		Aspergillus_fumigatus	crm*	GCA_020499335.1
1822_Aspergillus_fumigatus	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus		Aspergillus_fumigatus	crm*	GCA_020499355.1
1827_Aspergillus_fumigatus	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus		Aspergillus_fumigatus	crm*	GCA_020499395.1
1830_Aspergillus_fumigatus	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus		Aspergillus_fumigatus	crm*	GCA_020499405.1
1834_Aspergillus_fumigatus	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus		Aspergillus_fumigatus	crm*	GCA_020499415.1
1837_Aspergillus_fumigatus	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus		Aspergillus_fumigatus	crm*	GCA_020499455.1
