GCF	GCC	Validated_GCFName_In_Publication	Cluster_Name	NCBI_Accession
1	1	1	1_Talaromyces_marneffei	GCA_000001985.1
1	1	1	4_Talaromyces_marneffei	GCA_000001985.1
1	1	1	12_Talaromyces_stipitatus	GCA_000003125.1
1	1	1	13_Talaromyces_stipitatus	GCA_000003125.1
1	1	1	282_Talaromyces_marneffei	GCA_000750115.1
1	1	1	283_Talaromyces_marneffei	GCA_000750115.1
1	1	1	472_Talaromyces_verruculosus	GCA_001305275.1
1	1	1	682_Penicillium_occitanis	GCA_002382835.1
1	1	1	684_Penicillium_occitanis	GCA_002382835.1
1	1	1	687_Penicillium_occitanis	GCA_002382855.1
1	1	1	688_Penicillium_occitanis	GCA_002382855.1
1	1	1	1078_Talaromyces_marneffei	GCA_009556855.1
1	1	1	1081_Talaromyces_marneffei	GCA_009650675.1
1	1	1	1082_Talaromyces_marneffei	GCA_009650675.1
1	1	1	1235_Talaromyces_pinophilus	GCA_011392495.1
1	1	1	1238_Talaromyces_pinophilus	GCA_011392495.1
1	1	1	3360_Talaromyces_marneffei	GCF_000001985.1
1	1	1	3362_Talaromyces_marneffei	GCF_000001985.1
1	1	1	3373_Talaromyces_stipitatus	GCF_000003125.1
1	1	1	3374_Talaromyces_stipitatus	GCF_000003125.1
1	2	1	221_Penicillium_roqueforti	GCA_000513255.1
1	2	1	293_Penicillium_expansum	GCA_000769735.1
1	2	1	295_Penicillium_expansum	GCA_000769745.1
1	2	1	301_Penicillium_italicum	GCA_000769765.1
1	2	1	489_Penicillium_griseofulvum	GCA_001561935.1
1	2	1	491_Penicillium_griseofulvum	GCA_001561935.1
1	2	1	617_Penicillium_solitum	GCA_002072235.1
1	2	1	621_Penicillium_vulpinum	GCA_002072255.1
1	2	1	623_Penicillium_vulpinum	GCA_002072255.1
1	2	1	627_Penicillium_polonicum	GCA_002072265.1
1	2	1	629_Penicillium_polonicum	GCA_002072265.1
1	2	1	633_Penicillium_antarcticum	GCA_002072345.1
1	2	1	636_Penicillium_antarcticum	GCA_002072345.1
1	2	1	639_Penicillium_flavigenum	GCA_002072365.1
1	2	1	640_Penicillium_flavigenum	GCA_002072365.1
1	2	1	644_Penicillium_nalgiovense	GCA_002072425.1
1	2	1	646_Penicillium_nalgiovense	GCA_002072425.1
1	2	1	1219_Penicillium_rubens	GCA_011058885.1
1	2	1	1220_Penicillium_rubens	GCA_011058885.1
1	2	1	1264_Penicillium_digitatum	GCA_012295545.2
1	2	1	1509_Penicillium_crustosum	GCA_014621375.1
1	2	1	1556_Penicillium_digitatum	GCA_016767815.1
1	2	1	3431_Penicillium_rubens	GCF_000226395.1
1	2	1	3433_Penicillium_rubens	GCF_000226395.1
1	2	1	3461_Penicillium_digitatum	GCF_000315645.1
1	2	1	3524_Penicillium_expansum	GCF_000769745.1
1	2	1	3558_Penicillium_griseofulvum	GCF_001561935.1
1	2	1	3560_Penicillium_griseofulvum	GCF_001561935.1
1	2	1	3605_Penicillium_solitum	GCF_002072235.1
2	1	n/a	2_Talaromyces_marneffei	GCA_000001985.1
2	1	n/a	1080_Talaromyces_marneffei	GCA_009556855.1
