Cluster_Name	NCBI_Accession	Protein	Domain	Domain_Accession	E-value_hmmer	FinalGCFs
11_Aspergillus_niger	GCA_000002855.2	CAK43598.1				9*
11_Aspergillus_niger	GCA_000002855.2	CAK43599.1				9*
11_Aspergillus_niger	GCA_000002855.2	CAK43600.1	Cofilin_ADF	PF00241.21	1e-22	9*
11_Aspergillus_niger	GCA_000002855.2	CAK43601.1	MoCF_biosynth	PF00994.25	1.2999999999999998e-35	9*
11_Aspergillus_niger	GCA_000002855.2	CAK43602.1	Arf	PF00025.22	7.9e-09	9*
11_Aspergillus_niger	GCA_000002855.2	CAK43602.1	GTP_EFTU	PF00009.28	1.4e-06	9*
11_Aspergillus_niger	GCA_000002855.2	CAK43602.1	Ras	PF00071.23	3.8999999999999996e-60	9*
11_Aspergillus_niger	GCA_000002855.2	CAK43602.1	Roc	PF08477.14	1.3e-20	9*
11_Aspergillus_niger	GCA_000002855.2	CAK43602.1	RsgA_GTPase	PF03193.17	3.6e-05	9*
11_Aspergillus_niger	GCA_000002855.2	CAK43603.1	DIT1_PvcA	PF05141.13	4.899999999999999e-91	9*
11_Aspergillus_niger	GCA_000002855.2	CAK43604.1	KR	PF08659.11	3.2e-13	9*
11_Aspergillus_niger	GCA_000002855.2	CAK43604.1	Sacchrp_dh_NADP	PF03435.19	2.2e-05	9*
11_Aspergillus_niger	GCA_000002855.2	CAK43604.1	adh_short	PF00106.26	3.5000000000000004e-54	9*
11_Aspergillus_niger	GCA_000002855.2	CAK43604.1	adh_short_C2	PF13561.7	1e-37	9*
11_Aspergillus_niger	GCA_000002855.2	CAK43605.1				9*
11_Aspergillus_niger	GCA_000002855.2	CAK43606.1				9*
11_Aspergillus_niger	GCA_000002855.2	CAK43607.1	GATA	PF00320.28	2.5e-28	9*
11_Aspergillus_niger	GCA_000002855.2	CAK43607.1	TF_Zn_Ribbon	PF08271.13	1.3e-05	9*
11_Aspergillus_niger	GCA_000002855.2	CAK43607.1	Zn-ribbon_8	PF09723.11	8e-05	9*
11_Aspergillus_niger	GCA_000002855.2	CAK43608.1				9*
11_Aspergillus_niger	GCA_000002855.2	CAK43609.1				9*
11_Aspergillus_niger	GCA_000002855.2	CAK43610.1				9*
587_Aspergillus_brasiliensis	GCA_001889945.1	OJJ75186.1	KR	PF08659.11	3.5e-13	9*
587_Aspergillus_brasiliensis	GCA_001889945.1	OJJ75186.1	Sacchrp_dh_NADP	PF03435.19	3.3e-05	9*
587_Aspergillus_brasiliensis	GCA_001889945.1	OJJ75186.1	adh_short	PF00106.26	1.8000000000000002e-54	9*
587_Aspergillus_brasiliensis	GCA_001889945.1	OJJ75186.1	adh_short_C2	PF13561.7	2.2999999999999998e-38	9*
587_Aspergillus_brasiliensis	GCA_001889945.1	OJJ75187.1	DIT1_PvcA	PF05141.13	3.3e-91	9*
587_Aspergillus_brasiliensis	GCA_001889945.1	OJJ75187.1	TauD	PF02668.17	1.5e-08	9*
789_Aspergillus_eucalypticola	GCA_003184535.1	PWY85435.1	KR	PF08659.11	1.1e-13	9*
789_Aspergillus_eucalypticola	GCA_003184535.1	PWY85435.1	Sacchrp_dh_NADP	PF03435.19	1.7e-05	9*
789_Aspergillus_eucalypticola	GCA_003184535.1	PWY85435.1	adh_short	PF00106.26	1.8000000000000002e-54	9*
