Cluster_Name	NCBI_Accession	Protein	Domain	Domain_Accession	E-value_hmmer	FinalGCFs
26_Eremothecium_gossypii	GCA_000091025.4	AAS53768.1	CBFD_NFYB_HMF	PF00808.24	5.3e-15	dit (variation 1)*
26_Eremothecium_gossypii	GCA_000091025.4	AAS53769.2	Utp12	PF04003.13	5.9e-23	dit (variation 1)*
26_Eremothecium_gossypii	GCA_000091025.4	AAS53770.1	IU_nuc_hydro	PF01156.20	7.399999999999999e-73	dit (variation 1)*
26_Eremothecium_gossypii	GCA_000091025.4	AAS53771.1	p450	PF00067.23	4.6e-50	dit (variation 1)*
26_Eremothecium_gossypii	GCA_000091025.4	AAS53772.1	DIT1_PvcA	PF05141.13	5.199999999999999e-98	dit (variation 1)*
26_Eremothecium_gossypii	GCA_000091025.4	AAS53773.1	S1	PF00575.24	1.8000000000000004e-13	dit (variation 1)*
26_Eremothecium_gossypii	GCA_000091025.4	AAS53773.1	SHS2_Rpb7-N	PF03876.18	1.3e-14	dit (variation 1)*
26_Eremothecium_gossypii	GCA_000091025.4	AAS53774.1	Ribosomal_L13	PF00572.19	2.5e-45	dit (variation 1)*
26_Eremothecium_gossypii	GCA_000091025.4	AAS53775.1	RNA_pol_Rpb2_1	PF04563.16	1.2999999999999998e-69	dit (variation 1)*
26_Eremothecium_gossypii	GCA_000091025.4	AAS53775.1	RNA_pol_Rpb2_2	PF04561.15	3.1e-52	dit (variation 1)*
26_Eremothecium_gossypii	GCA_000091025.4	AAS53775.1	RNA_pol_Rpb2_3	PF04565.17	2.2e-25	dit (variation 1)*
26_Eremothecium_gossypii	GCA_000091025.4	AAS53775.1	RNA_pol_Rpb2_4	PF04566.14	4.3e-26	dit (variation 1)*
26_Eremothecium_gossypii	GCA_000091025.4	AAS53775.1	RNA_pol_Rpb2_5	PF04567.18	2.5000000000000002e-21	dit (variation 1)*
26_Eremothecium_gossypii	GCA_000091025.4	AAS53775.1	RNA_pol_Rpb2_6	PF00562.29	7.799999999999997e-126	dit (variation 1)*
26_Eremothecium_gossypii	GCA_000091025.4	AAS53775.1	RNA_pol_Rpb2_7	PF04560.21	7.4e-35	dit (variation 1)*
26_Eremothecium_gossypii	GCA_000091025.4	AAS53776.1	Ribosomal_L23	PF00276.21	1.4e-11	dit (variation 1)*
29_Saccharomyces_cerevisiae	GCA_000146045.2	DAA12243.1	IU_nuc_hydro	PF01156.20	4.3000000000000004e-72	dit (variation 1)*
29_Saccharomyces_cerevisiae	GCA_000146045.2	DAA12244.1	p450	PF00067.23	1.5999999999999999e-55	dit (variation 1)*
29_Saccharomyces_cerevisiae	GCA_000146045.2	DAA12245.1	DIT1_PvcA	PF05141.13	3.0999999999999994e-100	dit (variation 1)*
29_Saccharomyces_cerevisiae	GCA_000146045.2	DAA12246.1	S1	PF00575.24	1.3000000000000002e-18	dit (variation 1)*
29_Saccharomyces_cerevisiae	GCA_000146045.2	DAA12246.1	SHS2_Rpb7-N	PF03876.18	6e-13	dit (variation 1)*
