Cluster_Name	NCBI_Accession	Protein	Domain	Domain_Accession	E-value_hmmer	FinalGCFs
702_Cercospora_beticola	GCA_002742065.1	PIA93867.1	Abhydrolase_3	PF07859.14	3e-14	133
702_Cercospora_beticola	GCA_002742065.1	PIA93867.1	Peptidase_S9	PF00326.22	5.7e-05	133
702_Cercospora_beticola	GCA_002742065.1	PIA93866.1	KR	PF08659.11	2.8e-15	133
702_Cercospora_beticola	GCA_002742065.1	PIA93866.1	adh_short	PF00106.26	7.2e-43	133
702_Cercospora_beticola	GCA_002742065.1	PIA93866.1	adh_short_C2	PF13561.7	8.499999999999999e-49	133
702_Cercospora_beticola	GCA_002742065.1	PIA93910.1	Hexapep	PF00132.25	1e-13	133
702_Cercospora_beticola	GCA_002742065.1	PIA93910.1	Hexapep_2	PF14602.7	4.700000000000001e-12	133
702_Cercospora_beticola	GCA_002742065.1	PIA93910.1	Mac	PF12464.9	7.299999999999999e-14	133
702_Cercospora_beticola	GCA_002742065.1	PIA93868.1	Cu_amine_oxid	PF01179.21	1.0999999999999995e-154	133
702_Cercospora_beticola	GCA_002742065.1	PIA93868.1	Cu_amine_oxidN2	PF02727.17	2.2e-05	133
702_Cercospora_beticola	GCA_002742065.1	PIA93868.1	Cu_amine_oxidN3	PF02728.17	3.6000000000000003e-06	133
702_Cercospora_beticola	GCA_002742065.1	PIA93870.1	p450	PF00067.23	1.8999999999999995e-58	133
702_Cercospora_beticola	GCA_002742065.1	PIA93869.1	MFS_1	PF07690.17	2e-43	133
702_Cercospora_beticola	GCA_002742065.1	PIA93869.1	Sugar_tr	PF00083.25	1.6e-11	133
702_Cercospora_beticola	GCA_002742065.1	PIA93858.1	DIT1_PvcA	PF05141.13	3.499999999999999e-92	133
3613_Cercospora_beticola	GCF_002742065.1	XP_023452994.1	Abhydrolase_3	PF07859.14	3e-14	133
3613_Cercospora_beticola	GCF_002742065.1	XP_023452994.1	Peptidase_S9	PF00326.22	5.7e-05	133
3613_Cercospora_beticola	GCF_002742065.1	XP_023452993.1	KR	PF08659.11	2.8e-15	133
3613_Cercospora_beticola	GCF_002742065.1	XP_023452993.1	adh_short	PF00106.26	7.2e-43	133
3613_Cercospora_beticola	GCF_002742065.1	XP_023452993.1	adh_short_C2	PF13561.7	8.499999999999999e-49	133
3613_Cercospora_beticola	GCF_002742065.1	XP_023453037.1	Hexapep	PF00132.25	1e-13	133
3613_Cercospora_beticola	GCF_002742065.1	XP_023453037.1	Hexapep_2	PF14602.7	4.700000000000001e-12	133
3613_Cercospora_beticola	GCF_002742065.1	XP_023453037.1	Mac	PF12464.9	7.299999999999999e-14	133
3613_Cercospora_beticola	GCF_002742065.1	XP_023452995.1	Cu_amine_oxid	PF01179.21	1.0999999999999995e-154	133
3613_Cercospora_beticola	GCF_002742065.1	XP_023452995.1	Cu_amine_oxidN2	PF02727.17	2.2e-05	133
3613_Cercospora_beticola	GCF_002742065.1	XP_023452995.1	Cu_amine_oxidN3	PF02728.17	3.6000000000000003e-06	133
3613_Cercospora_beticola	GCF_002742065.1	XP_023452997.1	p450	PF00067.23	1.8999999999999995e-58	133
3613_Cercospora_beticola	GCF_002742065.1	XP_023452996.1	MFS_1	PF07690.17	2e-43	133
3613_Cercospora_beticola	GCF_002742065.1	XP_023452996.1	Sugar_tr	PF00083.25	1.6e-11	133
3613_Cercospora_beticola	GCF_002742065.1	XP_023452985.1	DIT1_PvcA	PF05141.13	3.499999999999999e-92	133
