"Table S1: Accession, taxonomy, isocyanide synthase count, and busco counts for all of the NCBI annotated genomes analyed for this study."											
											
Accession	ICS_Count	Kingdom	Phylum	Fungal_Class	Order	Family	Genus	Species	Buscos (out of 290)	BuscoScore	
GCA_902827195.2	12	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Bionectriaceae	Clonostachys	Clonostachys_rosea	272	0.937931034	
GCA_020744425.1	10	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Dactylonectria	Dactylonectria_macrodidyma	281	0.968965517	
GCA_002072265.1	8	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium	Penicillium_polonicum	264	0.910344828	
GCA_022180325.1	8	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	Fusarium_langsethiae	290	1	
GCA_022180345.1	8	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	Fusarium_langsethiae	288	0.993103448	
GCA_001481775.2	7	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Hypocreaceae	Trichoderma	Trichoderma_gamsii	275	0.948275862	
GCA_002894205.1	7	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Hypocreaceae	Trichoderma	Trichoderma_gamsii	283	0.975862069	
GCA_003012315.1	7	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	Fusarium_sporotrichioides	287	0.989655172	
GCA_010093925.1	7	Fungi	Ascomycota	Dothideomycetes		Zopfiaceae	Zopfia	Zopfia_rhizophila	278	0.95862069	
GCA_013368315.1	7	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Marasmiaceae	Tetrapyrgos	Tetrapyrgos_nigripes	260	0.896551724	
GCA_020744275.1	7	Fungi	Ascomycota	Dothideomycetes	Botryosphaeriales	Botryosphaeriaceae	Macrophomina	Macrophomina_phaseolina	284	0.979310345	
GCA_020747015.1	7	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Cucurbitariaceae	Pyrenochaeta	Pyrenochaeta_sp_MPISDFRAT0127	279	0.962068966	
GCF_001481775.1	7	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Hypocreaceae	Trichoderma	Trichoderma_gamsii	286	0.986206897	
GCF_001481775.2	7	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Hypocreaceae	Trichoderma	Trichoderma_gamsii	275	0.948275862	
GCA_000171015.2	6	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Hypocreaceae	Trichoderma	Trichoderma_atroviride	289	0.996551724	
GCA_000302655.1	6	Fungi	Ascomycota	Dothideomycetes	Botryosphaeriales	Botryosphaeriaceae	Macrophomina	Macrophomina_phaseolina	263	0.906896552	
GCA_000313795.2	6	Fungi	Ascomycota	Sordariomycetes	Glomerellales	Glomerellaceae	Colletotrichum	Colletotrichum_higginsianum	259	0.893103448	
GCA_000319635.2	6	Fungi	Ascomycota	Sordariomycetes	Glomerellales	Glomerellaceae	Colletotrichum	Colletotrichum_fructicola	289	0.996551724	
GCA_000338975.1	6	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Bipolaris	Bipolaris_maydis	276	0.951724138	
GCA_000350065.2	6	Fungi	Ascomycota	Sordariomycetes	Glomerellales	Glomerellaceae	Colletotrichum	Colletotrichum_orbiculare	284	0.979310345	
GCA_000354255.1	6	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Bipolaris	Bipolaris_maydis	286	0.986206897	
GCA_000446055.1	6	Fungi	Ascomycota	Sordariomycetes	Glomerellales	Glomerellaceae	Colletotrichum	Colletotrichum_gloeosporioides	259	0.893103448	
GCA_000523435.1	6	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Bipolaris	Bipolaris_zeicola	279	0.962068966	
GCA_000527765.1	6	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Bipolaris	Bipolaris_victoriae	278	0.95862069	
GCA_001305275.1	6	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Trichocomaceae	Talaromyces	Talaromyces_verruculosus	273	0.94137931	
