Cluster_Name	NCBI_Accession	Protein	Domain	Domain_Accession	E-value_hmmer	FinalGCFs
7_Aspergillus_fumigatus	GCA_000002655.1	EAL86043.1	p450	PF00067.23	3.7e-55	xan*
7_Aspergillus_fumigatus	GCA_000002655.1	EAL86042.1	p450	PF00067.23	1.2e-49	xan*
7_Aspergillus_fumigatus	GCA_000002655.1	EAL86041.1				xan*
7_Aspergillus_fumigatus	GCA_000002655.1	EAL86040.1	Methyltransf_2	PF00891.19	5.5999999999999996e-24	xan*
7_Aspergillus_fumigatus	GCA_000002655.1	EAL86040.1	Methyltransf_25	PF13649.7	7.5e-05	xan*
7_Aspergillus_fumigatus	GCA_000002655.1	EBA27256.1	DUF4149	PF13664.7	2.8e-18	xan*
7_Aspergillus_fumigatus	GCA_000002655.1	EBA27255.1				xan*
7_Aspergillus_fumigatus	GCA_000002655.1	EAL86038.2	DIT1_PvcA	PF05141.13	4.599999999999999e-93	xan*
7_Aspergillus_fumigatus	GCA_000002655.1	EAL86038.2	TauD	PF02668.17	3.8e-22	xan*
7_Aspergillus_fumigatus	GCA_000002655.1	EAL86037.1	DJ-1_PfpI	PF01965.25	1.1e-14	xan*
9_Aspergillus_clavatus	GCA_000002715.1	EAW14838.1	DIT1_PvcA	PF05141.13	2e-92	xan*
9_Aspergillus_clavatus	GCA_000002715.1	EAW14838.1	TauD	PF02668.17	3.2000000000000003e-23	xan*
9_Aspergillus_clavatus	GCA_000002715.1	EAW14839.1				xan*
9_Aspergillus_clavatus	GCA_000002715.1	EAW14840.1	DUF4149	PF13664.7	3.599999999999999e-24	xan*
9_Aspergillus_clavatus	GCA_000002715.1	EAW14841.1	Methyltransf_2	PF00891.19	2.8000000000000004e-22	xan*
9_Aspergillus_clavatus	GCA_000002715.1	EAW14842.1				xan*
9_Aspergillus_clavatus	GCA_000002715.1	EAW14843.1	p450	PF00067.23	8.499999999999998e-48	xan*
9_Aspergillus_clavatus	GCA_000002715.1	EAW14844.1	p450	PF00067.23	8.099999999999999e-57	xan*
37_Aspergillus_fischeri	GCA_000149645.3	EAW24360.1	Glyco_transf_15	PF01793.17	2.1e-115	xan*
37_Aspergillus_fischeri	GCA_000149645.3	EAW24361.1	GCP5-Mod21	PF14609.7	4.9e-07	xan*
37_Aspergillus_fischeri	GCA_000149645.3	EAW24361.1	GCP_C_terminal	PF04130.14	1.9999999999999998e-25	xan*
37_Aspergillus_fischeri	GCA_000149645.3	EAW24361.1	GCP_N_terminal	PF17681.2	2e-35	xan*
37_Aspergillus_fischeri	GCA_000149645.3	EAW24362.1	AIRS_C	PF02769.23	1.3e-38	xan*
37_Aspergillus_fischeri	GCA_000149645.3	EAW24362.1	FGAR-AT_N	PF18076.2	1.1999999999999998e-33	xan*
37_Aspergillus_fischeri	GCA_000149645.3	EAW24362.1	FGAR-AT_linker	PF18072.2	1.9e-22	xan*
37_Aspergillus_fischeri	GCA_000149645.3	EAW24362.1	GATase_5	PF13507.7	7.999999999999999e-103	xan*
37_Aspergillus_fischeri	GCA_000149645.3	EAW24363.1	MFS_1	PF07690.17	3.1000000000000004e-28	xan*
37_Aspergillus_fischeri	GCA_000149645.3	EAW24364.1	Fungal_trans	PF04082.19	1.6000000000000002e-10	xan*
37_Aspergillus_fischeri	GCA_000149645.3	EAW24364.1	Zn_clus	PF00172.19	1.5e-06	xan*
37_Aspergillus_fischeri	GCA_000149645.3	EAW24365.1	DJ-1_PfpI	PF01965.25	1.1e-13	xan*
37_Aspergillus_fischeri	GCA_000149645.3	EAW24366.1	DIT1_PvcA	PF05141.13	8.099999999999999e-94	xan*
37_Aspergillus_fischeri	GCA_000149645.3	EAW24366.1	TauD	PF02668.17	1.6e-21	xan*
53_Aspergillus_fumigatus	GCA_000150145.1	EDP51112.1	p450	PF00067.23	9.3e-55	xan*
53_Aspergillus_fumigatus	GCA_000150145.1	EDP51113.1	p450	PF00067.23	1.4000000000000002e-49	xan*
53_Aspergillus_fumigatus	GCA_000150145.1	EDP51114.1				xan*
53_Aspergillus_fumigatus	GCA_000150145.1	EDP51115.1	Methyltransf_2	PF00891.19	4.1e-24	xan*
53_Aspergillus_fumigatus	GCA_000150145.1	EDP51115.1	Methyltransf_25	PF13649.7	7.8e-05	xan*
53_Aspergillus_fumigatus	GCA_000150145.1	EDP51116.1	DUF4149	PF13664.7	3.4000000000000004e-18	xan*
53_Aspergillus_fumigatus	GCA_000150145.1	EDP51117.1				xan*
53_Aspergillus_fumigatus	GCA_000150145.1	EDP51118.1	DIT1_PvcA	PF05141.13	4.3e-93	xan*
53_Aspergillus_fumigatus	GCA_000150145.1	EDP51118.1	TauD	PF02668.17	3.1e-22	xan*
53_Aspergillus_fumigatus	GCA_000150145.1	EDP51119.1	DJ-1_PfpI	PF01965.25	2.5e-14	xan*
276_Aspergillus_fumigatus	GCA_000731615.1	KEY75712.1	p450	PF00067.23	1.1e-49	xan*
276_Aspergillus_fumigatus	GCA_000731615.1	KEY75715.1				xan*
276_Aspergillus_fumigatus	GCA_000731615.1	KEY75714.1	Methyltransf_2	PF00891.19	3.599999999999999e-24	xan*
276_Aspergillus_fumigatus	GCA_000731615.1	KEY75714.1	Methyltransf_25	PF13649.7	6.9e-05	xan*
276_Aspergillus_fumigatus	GCA_000731615.1	KEY75740.1	DUF4149	PF13664.7	2.5e-18	xan*
276_Aspergillus_fumigatus	GCA_000731615.1	KEY75739.1				xan*
276_Aspergillus_fumigatus	GCA_000731615.1	KEY75742.1	DIT1_PvcA	PF05141.13	4.1999999999999985e-93	xan*
276_Aspergillus_fumigatus	GCA_000731615.1	KEY75742.1	TauD	PF02668.17	3.4000000000000003e-22	xan*
291_Penicillium_expansum	GCA_000769735.1	KGO40440.1				xan*
291_Penicillium_expansum	GCA_000769735.1	KGO40441.1	FAT	PF02259.24	4.299999999999999e-73	xan*
291_Penicillium_expansum	GCA_000769735.1	KGO40441.1	FATC	PF02260.21	9.4e-06	xan*
291_Penicillium_expansum	GCA_000769735.1	KGO40441.1	PI3_PI4_kinase	PF00454.28	6.299999999999998e-35	xan*
291_Penicillium_expansum	GCA_000769735.1	KGO40442.1	DUF572	PF04502.14	1.5999999999999997e-63	xan*
291_Penicillium_expansum	GCA_000769735.1	KGO40443.1	ANAPC3	PF12895.8	3.2000000000000003e-27	xan*
291_Penicillium_expansum	GCA_000769735.1	KGO40443.1	Glyco_transf_90	PF05686.13	4.4e-29	xan*
291_Penicillium_expansum	GCA_000769735.1	KGO40443.1	TPR_1	PF00515.29	3.4e-26	xan*
291_Penicillium_expansum	GCA_000769735.1	KGO40443.1	TPR_10	PF13374.7	7.4e-07	xan*
291_Penicillium_expansum	GCA_000769735.1	KGO40443.1	TPR_11	PF13414.7	5.200000000000001e-10	xan*
291_Penicillium_expansum	GCA_000769735.1	KGO40443.1	TPR_12	PF13424.7	3.9e-14	xan*
291_Penicillium_expansum	GCA_000769735.1	KGO40443.1	TPR_14	PF13428.7	4.4e-13	xan*
291_Penicillium_expansum	GCA_000769735.1	KGO40443.1	TPR_16	PF13432.7	2.1e-10	xan*
291_Penicillium_expansum	GCA_000769735.1	KGO40443.1	TPR_19	PF14559.7	1.2e-19	xan*
291_Penicillium_expansum	GCA_000769735.1	KGO40443.1	TPR_2	PF07719.18	3.4e-26	xan*
291_Penicillium_expansum	GCA_000769735.1	KGO40443.1	TPR_6	PF13174.7	4.2e-08	xan*
291_Penicillium_expansum	GCA_000769735.1	KGO40443.1	TPR_7	PF13176.7	4.9e-08	xan*
291_Penicillium_expansum	GCA_000769735.1	KGO40443.1	TPR_8	PF13181.7	9.8e-13	xan*
291_Penicillium_expansum	GCA_000769735.1	KGO40444.1	p450	PF00067.23	6.2e-48	xan*
291_Penicillium_expansum	GCA_000769735.1	KGO40445.1	DUF4149	PF13664.7	4.299999999999999e-22	xan*
291_Penicillium_expansum	GCA_000769735.1	KGO40446.1				xan*
291_Penicillium_expansum	GCA_000769735.1	KGO40447.1	DIT1_PvcA	PF05141.13	1.3999999999999998e-93	xan*
291_Penicillium_expansum	GCA_000769735.1	KGO40447.1	TauD	PF02668.17	2.0000000000000002e-21	xan*
291_Penicillium_expansum	GCA_000769735.1	KGO40448.1	DJ-1_PfpI	PF01965.25	7.4e-08	xan*
291_Penicillium_expansum	GCA_000769735.1	KGO40449.1	Fungal_trans	PF04082.19	1.9e-10	xan*
291_Penicillium_expansum	GCA_000769735.1	KGO40449.1	Zn_clus	PF00172.19	2e-06	xan*
291_Penicillium_expansum	GCA_000769735.1	KGO40450.1				xan*
291_Penicillium_expansum	GCA_000769735.1	KGO40451.1	SEP	PF08059.14	2.2e-25	xan*
291_Penicillium_expansum	GCA_000769735.1	KGO40451.1	UBA_4	PF14555.7	1.2e-12	xan*
291_Penicillium_expansum	GCA_000769735.1	KGO40451.1	UBX	PF00789.21	4e-14	xan*
296_Penicillium_expansum	GCA_000769745.1	KGO59671.1	DIT1_PvcA	PF05141.13	1.3999999999999998e-93	xan*
296_Penicillium_expansum	GCA_000769745.1	KGO59671.1	TauD	PF02668.17	2.0000000000000002e-21	xan*
296_Penicillium_expansum	GCA_000769745.1	KGO59672.1	DJ-1_PfpI	PF01965.25	7.5e-08	xan*
296_Penicillium_expansum	GCA_000769745.1	KGO59673.1	Fungal_trans	PF04082.19	1.9e-10	xan*
296_Penicillium_expansum	GCA_000769745.1	KGO59673.1	Zn_clus	PF00172.19	2e-06	xan*
296_Penicillium_expansum	GCA_000769745.1	KGO59674.1				xan*
296_Penicillium_expansum	GCA_000769745.1	KGO59675.1	SEP	PF08059.14	2.2e-25	xan*
296_Penicillium_expansum	GCA_000769745.1	KGO59675.1	UBA_4	PF14555.7	1.2e-12	xan*
296_Penicillium_expansum	GCA_000769745.1	KGO59675.1	UBX	PF00789.21	4e-14	xan*
299_Penicillium_expansum	GCA_000769755.1	KGO64693.1	DIT1_PvcA	PF05141.13	1.3999999999999998e-93	xan*
299_Penicillium_expansum	GCA_000769755.1	KGO64693.1	TauD	PF02668.17	1.9000000000000006e-21	xan*
299_Penicillium_expansum	GCA_000769755.1	KGO64694.1				xan*
299_Penicillium_expansum	GCA_000769755.1	KGO64695.1	DUF4149	PF13664.7	4.1000000000000004e-22	xan*
299_Penicillium_expansum	GCA_000769755.1	KGO64696.1	p450	PF00067.23	6e-48	xan*
299_Penicillium_expansum	GCA_000769755.1	KGO64697.1	ANAPC3	PF12895.8	3.0999999999999995e-27	xan*
299_Penicillium_expansum	GCA_000769755.1	KGO64697.1	Glyco_transf_90	PF05686.13	4.3000000000000004e-29	xan*
299_Penicillium_expansum	GCA_000769755.1	KGO64697.1	TPR_1	PF00515.29	3.3e-26	xan*
299_Penicillium_expansum	GCA_000769755.1	KGO64697.1	TPR_10	PF13374.7	7.1e-07	xan*
299_Penicillium_expansum	GCA_000769755.1	KGO64697.1	TPR_11	PF13414.7	5e-10	xan*
299_Penicillium_expansum	GCA_000769755.1	KGO64697.1	TPR_12	PF13424.7	3.8e-14	xan*
299_Penicillium_expansum	GCA_000769755.1	KGO64697.1	TPR_14	PF13428.7	4.2e-13	xan*
299_Penicillium_expansum	GCA_000769755.1	KGO64697.1	TPR_16	PF13432.7	2e-10	xan*
299_Penicillium_expansum	GCA_000769755.1	KGO64697.1	TPR_19	PF14559.7	1.1000000000000002e-19	xan*
299_Penicillium_expansum	GCA_000769755.1	KGO64697.1	TPR_2	PF07719.18	3.3e-26	xan*
