Cluster_Name	NCBI_Accession	Protein	Domain	Domain_Accession	E-value_hmmer	FinalGCFs
5_Aspergillus_fumigatus	GCA_000002655.1	EAL92220.1	Ctr	PF04145.16	3.1e-37	crm*
5_Aspergillus_fumigatus	GCA_000002655.1	EAL92219.1	MFS_1	PF07690.17	1e-22	crm*
5_Aspergillus_fumigatus	GCA_000002655.1	EAL92218.1	AATase	PF07247.13	1.1e-13	crm*
5_Aspergillus_fumigatus	GCA_000002655.1	EAL92217.1	DIT1_PvcA	PF05141.13	1.1e-87	crm*
39_Aspergillus_fischeri	GCA_000149645.3	EAW21199.1				crm*
39_Aspergillus_fischeri	GCA_000149645.3	EAW21200.1				crm*
39_Aspergillus_fischeri	GCA_000149645.3	EAW21201.1				crm*
39_Aspergillus_fischeri	GCA_000149645.3	EAW21202.1				crm*
39_Aspergillus_fischeri	GCA_000149645.3	EAW21203.1				crm*
39_Aspergillus_fischeri	GCA_000149645.3	EAW21204.1	PK_Tyr_Ser-Thr	PF07714.18	2.9e-24	crm*
39_Aspergillus_fischeri	GCA_000149645.3	EAW21204.1	Pkinase	PF00069.26	8.100000000000001e-44	crm*
39_Aspergillus_fischeri	GCA_000149645.3	EAW21205.1	AMP-binding	PF00501.29	4e-17	crm*
39_Aspergillus_fischeri	GCA_000149645.3	EAW21205.1	PP-binding	PF00550.26	5.4e-07	crm*
39_Aspergillus_fischeri	GCA_000149645.3	EAW21205.1	Transferase	PF02458.16	2.9e-12	crm*
39_Aspergillus_fischeri	GCA_000149645.3	EAW21206.1	DIT1_PvcA	PF05141.13	7.999999999999998e-87	crm*
39_Aspergillus_fischeri	GCA_000149645.3	EAW21207.1	AATase	PF07247.13	2.1e-13	crm*
39_Aspergillus_fischeri	GCA_000149645.3	EAW21208.1	MFS_1	PF07690.17	5.0999999999999995e-24	crm*
39_Aspergillus_fischeri	GCA_000149645.3	EAW21209.1	Ctr	PF04145.16	6.300000000000001e-38	crm*
46_Pyrenophora_tritici-repentis	GCA_000149985.1	EDU43583.1				crm*
46_Pyrenophora_tritici-repentis	GCA_000149985.1	EDU43584.1	DIT1_PvcA	PF05141.13	1.9e-86	crm*
46_Pyrenophora_tritici-repentis	GCA_000149985.1	EDU43585.1	Pyridoxal_deC	PF00282.20	5.9999999999999975e-68	crm*
46_Pyrenophora_tritici-repentis	GCA_000149985.1	EDU43586.1	Fungal_trans	PF04082.19	2.8e-13	crm*
46_Pyrenophora_tritici-repentis	GCA_000149985.1	EDU43586.1	Zn_clus	PF00172.19	3.1e-07	crm*
54_Aspergillus_fumigatus	GCA_000150145.1	EDP52387.1	DIT1_PvcA	PF05141.13	1.1999999999999995e-87	crm*
54_Aspergillus_fumigatus	GCA_000150145.1	EDP52388.1	AATase	PF07247.13	1.2e-13	crm*
54_Aspergillus_fumigatus	GCA_000150145.1	EDP52389.1	MFS_1	PF07690.17	1.1e-22	crm*
54_Aspergillus_fumigatus	GCA_000150145.1	EDP52390.1	Ctr	PF04145.16	3.2e-37	crm*
67_Pyrenophora_teres	GCA_000166005.1	EFQ94302.1				crm*
67_Pyrenophora_teres	GCA_000166005.1	EFQ94303.1	MFS_1	PF07690.17	1.3000000000000002e-18	crm*
67_Pyrenophora_teres	GCA_000166005.1	EFQ94303.1	TRI12	PF06609.14	5.8e-06	crm*
67_Pyrenophora_teres	GCA_000166005.1	EFQ94304.1	DIT1_PvcA	PF05141.13	9.999999999999998e-93	crm*
67_Pyrenophora_teres	GCA_000166005.1	EFQ94305.1	Pyridoxal_deC	PF00282.20	6.899999999999998e-73	crm*
67_Pyrenophora_teres	GCA_000166005.1	EFQ94306.1	Fungal_trans	PF04082.19	3.3000000000000005e-14	crm*
