TreeTip_Name	Protein	Accession	Lichen	ICS_Clade	Species	Genus	Fungal_Class
Xylariaceae_sp_FL1272_KAI0164569.1	KAI0164569.1	GCA_022432385.1	NotLichen	crm_fused	Xylariaceae_sp_FL1272		Sordariomycetes
Xylariaceae_sp_FL1019_KAI1266947.1	KAI1266947.1	GCA_022578705.1	NotLichen	crm_fused	Xylariaceae_sp_FL1019		Sordariomycetes
Xylariaceae_sp_FL0594_KAI0398592.1	KAI0398592.1	GCA_022385605.1	NotLichen	crm_fused	Xylariaceae_sp_FL0594		Sordariomycetes
Xylaria_sp_FL1777_KAI1418874.1	KAI1418874.1	GCA_022578965.1	NotLichen	crm_fused	Xylaria_sp_FL1777	Xylaria	Sordariomycetes
Xylaria_palmicola_KAI0399761.1	KAI0399761.1	GCA_022385595.1	NotLichen	crm_fused	Xylaria_palmicola	Xylaria	Sordariomycetes
Xylaria_nigripes_KAI2634467.1	KAI2634467.1	GCA_022984845.1	NotLichen	crm_fused	Xylaria_nigripes	Xylaria	Sordariomycetes
Xylaria_intraflava_KAI1827496.1	KAI1827496.1	GCA_022385655.1	NotLichen	crm_fused	Xylaria_intraflava	Xylaria	Sordariomycetes
Xylaria_hypoxylon_TGJ79002.1	TGJ79002.1	GCA_004768795.1	NotLichen	crm_fused	Xylaria_hypoxylon	Xylaria	Sordariomycetes
Xylaria_grammica_KAI0422312.1	KAI0422312.1	GCA_022495055.1	NotLichen	crm_fused	Xylaria_grammica	Xylaria	Sordariomycetes
Xylaria_bambusicola_XP_047833026.1	XP_047833026.1	GCF_022495145.1	NotLichen	crm_fused	Xylaria_bambusicola	Xylaria	Sordariomycetes
Xylaria_bambusicola_XP_047832783.1	XP_047832783.1	GCF_022495145.1	NotLichen	crm_fused	Xylaria_bambusicola	Xylaria	Sordariomycetes
Xylaria_arbuscula_KAI1363917.1	KAI1363917.1	GCA_022578905.1	NotLichen	crm_fused	Xylaria_arbuscula	Xylaria	Sordariomycetes
Xylaria_arbuscula_KAI1361904.1	KAI1361904.1	GCA_022578905.1	NotLichen	crm_fused	Xylaria_arbuscula	Xylaria	Sordariomycetes
Verticillium_nonalfalfae_XP_028495418.1	XP_028495418.1	GCF_003724135.2	NotLichen	crm_fused	Verticillium_nonalfalfae	Verticillium	Sordariomycetes
Verticillium_dahliae_PNH27774.1	PNH27774.1	GCA_002892985.1	NotLichen	crm_fused	Verticillium_dahliae	Verticillium	Sordariomycetes
Trichophyton_violaceum_OAL68961.1	OAL68961.1	GCA_001651435.1	NotLichen	crm_fused	Trichophyton_violaceum	Trichophyton	Eurotiomycetes
Trichophyton_verrucosum_XP_003021174.1	XP_003021174.1	GCF_000151505.1	NotLichen	crm_fused	Trichophyton_verrucosum	Trichophyton	Eurotiomycetes
Trichophyton_soudanense_EZF79037.1	EZF79037.1	GCA_000616865.1	NotLichen	crm_fused	Trichophyton_soudanense	Trichophyton	Eurotiomycetes
Trichophyton_rubrum_KMQ41408.1	KMQ41408.1	GCA_000812105.1	NotLichen	crm_fused	Trichophyton_rubrum	Trichophyton	Eurotiomycetes
Trichophyton_interdigitale_KAG8206050.1	KAG8206050.1	GCA_019359935.1	NotLichen	crm_fused	Trichophyton_interdigitale	Trichophyton	Eurotiomycetes
Trichophyton_equinum_EGE05591.1	EGE05591.1	GCA_000151175.1	NotLichen	crm_fused	Trichophyton_equinum	Trichophyton	Eurotiomycetes
