NCBI_Accession	Cluster_Name	FinalGCFs	Species	Kingdom	Phylum	Fungal_Class	Order	Family	Genus
GCF_010015735.1	3691_Aaosphaeria_arxii	dit (variation 3)*	Aaosphaeria_arxii	Fungi	Ascomycota	Dothideomycetes	Pleosporales		Aaosphaeria
GCA_010015735.1	1138_Aaosphaeria_arxii	169	Aaosphaeria_arxii	Fungi	Ascomycota	Dothideomycetes	Pleosporales		Aaosphaeria
GCF_010015735.1	3690_Aaosphaeria_arxii	169	Aaosphaeria_arxii	Fungi	Ascomycota	Dothideomycetes	Pleosporales		Aaosphaeria
GCA_010015735.1	1137_Aaosphaeria_arxii	dit (variation 3)*	Aaosphaeria_arxii	Fungi	Ascomycota	Dothideomycetes	Pleosporales		Aaosphaeria
GCA_001653215.1	536_Akanthomyces_lecanii	104	Akanthomyces_lecanii	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Cordycipitaceae	Akanthomyces
GCA_001636795.1	517_Akanthomyces_lecanii	104	Akanthomyces_lecanii	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Cordycipitaceae	Akanthomyces
GCA_001653215.1	535_Akanthomyces_lecanii	6*	Akanthomyces_lecanii	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Cordycipitaceae	Akanthomyces
GCA_013036055.1	1325_Alternaria_burnsii	crm*	Alternaria_burnsii	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Alternaria
GCF_907166805.1	3798_Alternaria_atra	dit (variation 3)*	Alternaria_atra	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Alternaria
GCA_004156035.1	963_Alternaria_tenuissima	dit (variation 3)*	Alternaria_tenuissima	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Alternaria
GCF_001642055.1	3567_Alternaria_alternata	crm*	Alternaria_alternata	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Alternaria
GCF_004154835.1	3664_Alternaria_arborescens	crm*	Alternaria_arborescens	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Alternaria
GCA_001572055.1	498_Alternaria_alternata	crm*	Alternaria_alternata	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Alternaria
GCA_907166805.1	3348_Alternaria_atra	crm*	Alternaria_atra	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Alternaria
GCF_013036055.1	3723_Alternaria_burnsii	crm*	Alternaria_burnsii	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Alternaria
GCA_020736535.1	3162_Alternaria_alternata	crm*	Alternaria_alternata	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Alternaria
GCF_907166805.1	3800_Alternaria_atra	crm*	Alternaria_atra	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Alternaria
GCF_013036055.1	3724_Alternaria_burnsii	dit (variation 3)*	Alternaria_burnsii	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Alternaria
GCA_004154835.1	925_Alternaria_arborescens	47	Alternaria_arborescens	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Alternaria
GCA_004168565.1	968_Alternaria_tenuissima	dit (variation 3)*	Alternaria_tenuissima	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Alternaria
GCA_001642055.1	520_Alternaria_alternata	crm*	Alternaria_alternata	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Alternaria
GCA_004154845.1	930_Alternaria_tenuissima	crm*	Alternaria_tenuissima	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Alternaria
GCA_004155955.1	955_Alternaria_arborescens	crm*	Alternaria_arborescens	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Alternaria
GCA_004156015.1	958_Alternaria_tenuissima	crm*	Alternaria_tenuissima	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Alternaria
GCA_004156025.2	959_Alternaria_gaisen	crm*	Alternaria_gaisen	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Alternaria
GCA_004156035.1	964_Alternaria_tenuissima	crm*	Alternaria_tenuissima	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Alternaria
GCA_004168565.1	967_Alternaria_tenuissima	crm*	Alternaria_tenuissima	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Alternaria
GCA_004154815.1	924_Alternaria_arborescens	crm*	Alternaria_arborescens	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Alternaria
GCA_004154835.1	926_Alternaria_arborescens	crm*	Alternaria_arborescens	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Alternaria
GCA_004154765.1	920_Alternaria_tenuissima	crm*	Alternaria_tenuissima	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Alternaria
GCA_004154745.1	914_Alternaria_tenuissima	crm*	Alternaria_tenuissima	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Alternaria
GCA_004154735.1	911_Alternaria_tenuissima	47	Alternaria_tenuissima	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Alternaria
GCA_004154745.1	913_Alternaria_tenuissima	47	Alternaria_tenuissima	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Alternaria
GCA_004154735.1	909_Alternaria_tenuissima	crm*	Alternaria_tenuissima	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Alternaria
GCA_019702505.1	1684_Alternaria_panax	199	Alternaria_panax	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Alternaria
GCA_004154755.1	916_Alternaria_alternata	47	Alternaria_alternata	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Alternaria
GCA_004154765.1	921_Alternaria_tenuissima	47	Alternaria_tenuissima	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Alternaria
GCA_004154755.1	917_Alternaria_alternata	crm*	Alternaria_alternata	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Alternaria
GCA_004154815.1	923_Alternaria_arborescens	47	Alternaria_arborescens	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Alternaria
GCA_020736505.1	3157_Alternaria_rosae	crm*	Alternaria_rosae	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Alternaria
GCF_001642055.1	3566_Alternaria_alternata	dit (variation 3)*	Alternaria_alternata	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Alternaria
GCF_004154835.1	3665_Alternaria_arborescens	dit (variation 3)*	Alternaria_arborescens	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Alternaria
GCA_004168565.1	966_Alternaria_tenuissima	47	Alternaria_tenuissima	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Alternaria
GCA_013036055.1	1326_Alternaria_burnsii	47	Alternaria_burnsii	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Alternaria
GCA_004154735.1	910_Alternaria_tenuissima	dit (variation 3)*	Alternaria_tenuissima	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Alternaria
GCA_004154765.1	918_Alternaria_tenuissima	156	Alternaria_tenuissima	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Alternaria
GCA_004156025.2	961_Alternaria_gaisen	156	Alternaria_gaisen	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Alternaria
GCA_020736535.1	3161_Alternaria_alternata	156	Alternaria_alternata	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Alternaria
GCA_001642055.1	521_Alternaria_alternata	dit (variation 3)*	Alternaria_alternata	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Alternaria
GCA_004154745.1	912_Alternaria_tenuissima	dit (variation 3)*	Alternaria_tenuissima	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Alternaria
GCA_004154765.1	919_Alternaria_tenuissima	dit (variation 3)*	Alternaria_tenuissima	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Alternaria
GCA_004154815.1	922_Alternaria_arborescens	dit (variation 3)*	Alternaria_arborescens	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Alternaria
GCA_004154835.1	927_Alternaria_arborescens	dit (variation 3)*	Alternaria_arborescens	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Alternaria
GCA_004154845.1	928_Alternaria_tenuissima	dit (variation 3)*	Alternaria_tenuissima	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Alternaria
GCA_004155955.1	953_Alternaria_arborescens	dit (variation 3)*	Alternaria_arborescens	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Alternaria
GCA_004156015.1	957_Alternaria_tenuissima	dit (variation 3)*	Alternaria_tenuissima	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Alternaria
GCA_004156025.2	960_Alternaria_gaisen	dit (variation 3)*	Alternaria_gaisen	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Alternaria
GCA_004154755.1	915_Alternaria_alternata	dit (variation 3)*	Alternaria_alternata	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Alternaria
GCA_004156025.2	962_Alternaria_gaisen	47	Alternaria_gaisen	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Alternaria
GCA_004156035.1	965_Alternaria_tenuissima	47	Alternaria_tenuissima	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Alternaria
GCA_004156015.1	956_Alternaria_tenuissima	47	Alternaria_tenuissima	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Alternaria
GCA_907166805.1	3347_Alternaria_atra	dit (variation 3)*	Alternaria_atra	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Alternaria
GCA_020736535.1	3159_Alternaria_alternata	dit (variation 3)*	Alternaria_alternata	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Alternaria
GCA_019702505.1	1682_Alternaria_panax	dit (variation 3)*	Alternaria_panax	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Alternaria
GCA_013036055.1	1324_Alternaria_burnsii	dit (variation 3)*	Alternaria_burnsii	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Alternaria
GCF_907166805.1	3799_Alternaria_atra	47	Alternaria_atra	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Alternaria
GCF_013036055.1	3725_Alternaria_burnsii	47	Alternaria_burnsii	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Alternaria
GCF_004154835.1	3666_Alternaria_arborescens	47	Alternaria_arborescens	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Alternaria
GCA_001572055.1	499_Alternaria_alternata	dit (variation 3)*	Alternaria_alternata	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Alternaria
GCA_001572055.1	500_Alternaria_alternata	47	Alternaria_alternata	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Alternaria
GCA_004154845.1	929_Alternaria_tenuissima	47	Alternaria_tenuissima	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Alternaria
GCA_907166805.1	3349_Alternaria_atra	47	Alternaria_atra	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Alternaria
GCA_020736535.1	3160_Alternaria_alternata	47	Alternaria_alternata	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Alternaria
GCA_019702505.1	1683_Alternaria_panax	47	Alternaria_panax	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Alternaria
GCA_004155955.1	954_Alternaria_arborescens	47	Alternaria_arborescens	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Alternaria
GCA_010094095.1	1193_Ampelomyces_quisqualis	dit (variation 3)*	Ampelomyces_quisqualis	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Leptosphaeriaceae	Ampelomyces
GCA_010094095.1	1190_Ampelomyces_quisqualis	47	Ampelomyces_quisqualis	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Leptosphaeriaceae	Ampelomyces
GCA_010094095.1	1191_Ampelomyces_quisqualis	181	Ampelomyces_quisqualis	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Leptosphaeriaceae	Ampelomyces
GCF_010093885.1	3701_Aplosporella_prunicola	177	Aplosporella_prunicola	Fungi	Ascomycota	Dothideomycetes	Botryosphaeriales	Aplosporellaceae	Aplosporella
GCA_010093885.1	1170_Aplosporella_prunicola	4*	Aplosporella_prunicola	Fungi	Ascomycota	Dothideomycetes	Botryosphaeriales	Aplosporellaceae	Aplosporella
GCA_010093885.1	1171_Aplosporella_prunicola	176	Aplosporella_prunicola	Fungi	Ascomycota	Dothideomycetes	Botryosphaeriales	Aplosporellaceae	Aplosporella
GCF_010093885.1	3704_Aplosporella_prunicola	4*	Aplosporella_prunicola	Fungi	Ascomycota	Dothideomycetes	Botryosphaeriales	Aplosporellaceae	Aplosporella
GCA_010093885.1	1172_Aplosporella_prunicola	177	Aplosporella_prunicola	Fungi	Ascomycota	Dothideomycetes	Botryosphaeriales	Aplosporellaceae	Aplosporella
GCF_010093885.1	3703_Aplosporella_prunicola	176	Aplosporella_prunicola	Fungi	Ascomycota	Dothideomycetes	Botryosphaeriales	Aplosporellaceae	Aplosporella
GCF_010093885.1	3702_Aplosporella_prunicola	178	Aplosporella_prunicola	Fungi	Ascomycota	Dothideomycetes	Botryosphaeriales	Aplosporellaceae	Aplosporella
GCA_010093885.1	1173_Aplosporella_prunicola	178	Aplosporella_prunicola	Fungi	Ascomycota	Dothideomycetes	Botryosphaeriales	Aplosporellaceae	Aplosporella
GCA_011692745.1	1245_Arthroderma_uncinatum	182	Arthroderma_uncinatum	Fungi	Ascomycota	Eurotiomycetes	Onygenales	Arthrodermataceae	Arthroderma
